Idade:,Grau de Escolaridade:,Você participou ou está participando de algum curso ou disciplina online?,Quantos cursos ou disciplinas online você já participou?,"Entre os cursos ou disciplinas online que você participa ou já participou, escolha um curso ou uma disciplina que você sentiu ou sente mais dificuldade. ",Informe qual nota você obteve nesta disciplina.,Estou confiante que posso concluir as atividades do curso/disciplina online com sucesso.,Eu acredito que sou capaz de aprender o material do meu curso/disciplina online.,"Eu consigo me motivar a começar minhas tarefas online, mesmo quando não estou com vontade.",Eu fico motivado(a) a estudar online porque acho o conteúdo interessante.,Eu acho que as atividades online são relevantes para meus objetivos pessoais e profissionais.,Eu defino metas claras para o que quero alcançar em cada sessão de estudo online.,Eu monitoro regularmente meu entendimento durante o estudo online.,Eu ajusto minha abordagem de estudo quando percebo que não estou entendendo o material.,Eu reflito sobre a eficácia das minhas estratégias de aprendizagem após concluir uma tarefa online.,Eu planejo minha abordagem de estudo antes de começar uma tarefa online. ,Eu analiso minhas falhas para melhorar meu desempenho em futuras atividades online.,Eu estabeleço metas específicas para guiar meu estudo online.,Eu faço resumos ou mapas mentais para ajudar a compreender o material. ,Eu organizo meus materiais de estudo para que sejam facilmente acessíveis durante o aprendizado online.,"Eu uso diferentes recursos (vídeos, artigos, fóruns) para complementar meu estudo online. ","Eu reviso regularmente, após cada sessão de estudo online, o material do curso para assegurar que eu compreendi o conteúdo.","Quando fico estressado(a) com minhas tarefas online, eu sei como gerenciar esse estresse.","Eu consigo manter a calma e a concentração, mesmo quando enfrento dificuldades nas atividades online. ",Eu uso técnicas específicas para gerenciar minhas emoções durante o estudo online. ,Eu tento manter uma atitude positiva em relação às minhas tarefas de aprendizagem online. ,Eu lido bem com a frustração quando encontro dificuldades em meu estudo online.,"Quando encontro dificuldades, busco ajuda de colegas, tutores, professores ou fóruns de discussão.",Eu escolho um ambiente livre de distrações para realizar minhas atividades online. ,Eu tenho um cronograma regular para minhas atividades de estudo online. ,"Eu utilizo os recursos oferecidos pelo curso online, como fóruns de discussão e materiais complementares. ",Eu mantenho meu espaço de estudo organizado e pronto para minhas sessões de aprendizado. ,Eu garanto que tenho todos os materiais necessários antes de começar minhas atividades online.,"Me sinto confortável em tomar decisões sobre minha própria aprendizagem online (por exemplo, escolher que tópicos estudar primeiro).",Eu assumo a responsabilidade pelo meu próprio progresso no curso/disciplina online.,Eu avalio com frequência meu próprio desempenho e progresso no curso/disciplina online.,Eu me sinto responsável pelo meu próprio aprendizado e progresso no curso/disciplina online.,"Eu tomo decisões sobre minha própria aprendizagem, como escolher que tópicos estudar primeiro.",Eu frequentemente avalio meu próprio desempenho e progresso no curso/disciplina online.,Eu ajusto meus métodos de estudo de acordo com as necessidades do curso/disciplina online.,Eu mantenho um registro das minhas atividades e progresso no curso/disciplina online.
31 a 40 anos,Graduação,Sim,5 a 8,Matemática avançada ,7,6,6,4,2,6,6,6,6,6,4,4,6,3,3,7,4,4,5,4,6,4,1,6,4,4,4,4,6,6,4,6,6,4,4,4
31 a 40 anos,Graduação,Sim,Mais de 8 cursos,Programação,8,7,7,5,6,7,6,6,7,6,5,6,6,6,7,6,5,6,6,6,6,5,3,6,5,7,7,7,7,7,7,7,7,7,7,7
31 a 40 anos,Doutorado,Sim,Mais de 8 cursos,Nenhum,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
41 a 50 anos,Graduação,Sim,1 a 4,ENG ELETRICA  FISICA,7,7,7,7,7,7,7,6,6,5,7,7,6,7,7,7,7,5,5,7,7,7,5,5,7,7,7,7,5,7,7,6,7,7,7,7
31 a 40 anos,Graduação,Sim,1 a 4,Algoritmo ,8,7,6,6,5,7,5,5,5,6,4,5,5,4,5,6,4,5,5,5,6,3,5,6,7,4,7,7,6,7,6,4,4,6,7,4
31 a 40 anos,Graduação,Sim,Mais de 8 cursos,Introdução ciencia fisica,9,3,3,5,6,4,6,5,5,5,7,7,7,7,7,7,7,1,1,1,4,1,5,7,7,5,7,7,7,7,7,7,7,7,7,7
31 a 40 anos,Especialização,Sim,Mais de 8 cursos,Exatas,8,5,5,6,6,5,7,7,7,7,7,7,7,3,5,7,5,4,4,4,5,4,3,3,7,1,7,7,7,7,7,7,7,7,5,5
18 a 20 anos,Graduação,Sim,Mais de 8 cursos,Matemática ,6,4,3,2,1,1,1,1,1,2,5,4,3,4,4,5,1,1,1,1,4,1,4,1,4,5,3,4,5,4,1,7,5,1,1,4
18 a 20 anos,Graduação,Sim,1 a 4,Trigonometria ,6,3,5,6,5,6,3,3,7,6,3,4,5,7,6,2,2,2,2,5,6,2,2,6,3,5,7,7,6,7,2,5,6,2,6,7
21 a 25 anos,Graduação,Sim,Mais de 8 cursos,Trigonometria ,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
18 a 20 anos,Graduação,Sim,1 a 4,Historia da matemática ,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,4,5,5
41 a 50 anos,Graduação,Sim,5 a 8,Cálculo 1-2-3-4,9,7,7,4,7,7,7,4,7,7,5,6,5,5,7,7,5,1,5,1,5,1,7,7,4,5,5,4,4,7,7,7,4,7,5,7
41 a 50 anos,Graduação,Sim,Mais de 8 cursos,Disciplina de cálculo na graduação ,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5
21 a 25 anos,Graduação,Sim,5 a 8,Área de exatas,9,6,6,1,1,7,7,7,7,6,7,7,7,7,7,7,1,1,1,1,2,1,7,7,6,7,7,7,7,7,1,7,7,1,7,7
26 a 30 anos,Graduação,Sim,1 a 4,Cálculo e Trigonometria ,8,6,6,6,6,5,7,4,5,7,7,7,7,7,7,5,5,4,5,5,5,4,5,7,6,5,5,5,7,7,7,7,7,7,7,7
18 a 20 anos,Graduação,Sim,1 a 4,História da educação ,8,7,7,6,4,7,7,7,4,6,7,7,7,7,3,5,5,7,4,5,7,7,5,4,5,7,5,4,7,7,7,7,5,7,4,7
31 a 40 anos,Graduação,Sim,Mais de 8 cursos,Matemática Básica  ,5,5,6,4,4,5,5,2,5,2,2,2,2,2,5,7,6,4,4,1,6,4,7,7,2,5,5,4,1,1,2,2,1,2,1,6
21 a 25 anos,Graduação,Sim,1 a 4,Didática ,4,7,7,4,7,7,5,4,5,4,5,5,4,4,2,6,3,1,5,1,5,4,4,5,2,3,2,2,5,7,4,7,7,4,5,1
41 a 50 anos,Graduação,Sim,1 a 4,Física ,6,5,7,7,7,7,7,7,7,6,6,7,5,5,5,5,5,3,5,4,6,5,3,6,4,6,6,4,6,5,7,5,6,6,4,6
41 a 50 anos,Especialização,Sim,Mais de 8 cursos,Especialização de Gestão em Segurança Pública ,9,7,7,6,6,7,7,4,6,6,7,4,5,1,7,7,4,4,4,1,6,5,5,7,5,7,5,5,7,7,4,7,7,5,5,5
18 a 20 anos,Graduação,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41 a 50 anos,Graduação,Sim,Mais de 8 cursos,Química tecnológica ,5,3,3,5,4,3,6,5,4,3,5,5,3,4,3,5,2,4,2,3,6,3,2,6,4,2,5,4,5,5,5,5,3,3,3,4
31 a 40 anos,Mestrado,Sim,Mais de 8 cursos,Computaçao Gráfica,6,7,6,5,6,7,7,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
31 a 40 anos,Graduação,Sim,1 a 4,ADS,6,6,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
21 a 25 anos,Graduação,Sim,Mais de 8 cursos,Trigonometria ,9,7,7,6,7,6,7,6,7,7,4,7,4,1,7,7,5,5,7,7,7,7,1,6,2,2,6,6,7,7,7,7,7,7,7,6
31 a 40 anos,Graduação,Sim,1 a 4,Trigonometria ,6,7,7,3,1,7,7,5,6,5,3,6,6,5,4,7,7,2,4,1,3,1,7,5,2,6,5,4,7,7,5,7,7,5,3,7
41 a 50 anos,Graduação,Sim,Mais de 8 cursos,Eletrônica digital,7,7,7,6,6,6,6,6,7,6,7,6,7,6,7,6,5,6,7,6,6,7,5,7,6,6,7,7,7,7,7,7,7,7,7,6
41 a 50 anos,Graduação,Sim,5 a 8,Trigonometria ,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
31 a 40 anos,Graduação,Sim,1 a 4,Geometria ,7,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,3,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5
31 a 40 anos,Graduação,Sim,5 a 8,Cálculo diferencial é integral ,6,5,5,5,5,4,7,5,5,6,6,6,6,6,7,7,7,7,5,5,6,6,5,7,7,5,6,7,7,7,7,7,7,7,6,6
21 a 25 anos,Graduação,Sim,1 a 4,Desenvolvimento Web,7,7,7,7,4,7,5,7,7,7,4,7,7,6,6,6,6,7,7,7,7,7,7,7,7,6,6,5,6,6,5,6,6,6,5,7
18 a 20 anos,Graduação,Sim,1 a 4,Disciplina de Arquitetura de computadores ,9,7,7,7,6,4,7,7,6,6,6,7,7,5,7,7,5,7,7,5,5,7,7,7,7,7,7,7,7,7,5,7,7,5,5,5
18 a 20 anos,Graduação,Sim,5 a 8,Matemática,6,5,7,6,6,7,6,6,6,6,7,6,7,7,7,7,4,6,7,7,7,4,6,7,5,6,6,6,7,7,6,7,7,6,6,2
31 a 40 anos,Graduação,Sim,1 a 4,Cálculo diferencial,9,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,6,7,7,7,7,6,7,6,7,7,7,6,6,6,6,6,6,7,6
26 a 30 anos,Graduação,Sim,1 a 4,Matemática avançada ,8,7,7,2,4,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7,7,4,4,7,5,7,7,7,7,7,7,7,7,7,7,7
18 a 20 anos,Graduação,Sim,5 a 8,Análise de Dados,3,2,5,2,5,7,3,3,2,1,1,6,1,1,7,7,2,6,5,4,4,5,1,4,1,6,4,5,7,2,5,5,5,5,4,4
21 a 25 anos,Graduação,Sim,5 a 8,Sistema distribuído e computação paralela,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
31 a 40 anos,Mestrado,Sim,Mais de 8 cursos,Python,9,7,7,7,3,7,4,4,1,2,2,1,1,1,1,2,1,7,7,4,7,7,1,4,2,1,1,1,7,7,2,7,7,2,1,1
18 a 20 anos,Graduação,Sim,Mais de 8 cursos,Matemática e Lógica ,9,7,6,5,2,6,3,5,6,5,2,4,3,7,6,7,5,7,6,6,7,5,2,7,5,6,6,6,7,7,7,7,7,7,5,7
21 a 25 anos,Graduação,Sim,1 a 4,Arquitetura de sistemas ,4,6,7,3,3,3,6,4,4,5,6,5,7,2,4,5,3,1,2,4,5,2,2,4,7,4,5,5,6,7,6,6,6,4,3,6
26 a 30 anos,Graduação,Sim,Mais de 8 cursos,Circuitos Elétricos,6,7,7,7,4,7,4,5,7,5,4,7,5,3,7,7,7,6,7,7,7,7,6,5,4,7,6,5,7,7,7,7,7,7,7,6
26 a 30 anos,Graduação,Sim,5 a 8,Arquitetura de sistemas ,4,7,6,5,4,6,7,6,6,4,6,7,6,7,6,6,5,5,6,5,6,6,6,7,7,6,7,6,6,6,6,6,6,6,6,6
18 a 20 anos,Graduação,Sim,1 a 4,Arquitetura de Computadores ,6,7,6,6,6,6,3,5,5,7,5,3,5,7,7,7,6,4,4,4,6,6,5,5,3,7,7,7,4,6,6,6,6,7,7,6
31 a 40 anos,Mestrado,Sim,Mais de 8 cursos,Arquitetura de sistemas,7,6,6,5,6,7,7,5,5,3,6,5,6,2,6,7,4,5,5,4,6,4,6,5,6,6,6,6,6,5,7,7,6,5,5,3
51 a 60 anos,Graduação,Sim,Mais de 8 cursos,"Sistemas e informação foi mais dificil, pois tive que fazer o trabalho de extensão.",10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
21 a 25 anos,Graduação,Sim,Mais de 8 cursos,Cálculo,8,6,7,5,5,6,4,6,7,6,6,7,6,5,6,7,5,3,6,5,7,7,7,6,3,5,5,5,6,7,6,7,5,5,6,5
18 a 20 anos,Graduação,Sim,Mais de 8 cursos,Cálculo Avançado ,6,6,7,1,4,7,3,4,5,1,1,6,4,1,7,7,3,3,4,5,1,5,4,1,2,7,5,3,7,5,3,4,7,3,5,3
18 a 20 anos,Graduação,Sim,Mais de 8 cursos,Curso de Suporte em TI da Google,9,6,6,5,6,7,7,5,6,7,5,7,7,4,7,7,6,6,6,6,7,5,4,7,6,6,7,7,7,7,7,7,7,7,6,6
41 a 50 anos,Graduação,Sim,Mais de 8 cursos,Pedagogia ,9,7,7,7,6,7,6,6,7,7,6,7,6,6,6,7,6,6,6,6,7,5,6,7,5,2,6,7,7,7,7,7,7,7,7,7
26 a 30 anos,Especialização,Sim,Mais de 8 cursos,Lic. em Matemática - Trigonometria,9,7,5,6,4,7,2,4,5,4,4,7,4,6,5,7,4,3,4,4,7,5,6,7,2,7,4,7,7,7,7,7,6,6,7,7
18 a 20 anos,Graduação,Sim,1 a 4,Engenharia de software,6,4,6,4,6,7,3,6,5,4,2,4,3,2,3,7,6,2,5,1,5,4,5,6,4,4,5,2,7,5,4,3,5,5,3,1
18 a 20 anos,Graduação,Sim,5 a 8,Arquitetura de Software ,6,6,7,7,5,7,7,6,7,7,4,7,7,4,7,7,5,7,7,7,6,5,4,7,3,5,7,7,7,7,5,7,7,5,7,7
18 a 20 anos,Graduação,Sim,1 a 4,Probabilidade,7,7,7,4,5,6,4,4,5,5,5,7,5,5,7,7,5,7,7,5,7,7,1,5,1,1,7,7,7,7,4,7,7,4,5,7
21 a 25 anos,Graduação,Sim,1 a 4,"Ciencia da Computação, Matemática",7,5,4,3,4,6,3,2,5,5,2,6,5,6,6,7,3,6,5,4,2,3,6,7,3,1,4,3,6,5,3,2,6,3,6,5
18 a 20 anos,Graduação,Sim,1 a 4,Estrutura de dados ,6,5,5,2,3,5,1,2,5,3,2,5,2,4,2,7,2,1,1,1,3,1,1,4,1,3,2,1,5,2,1,2,3,2,4,4
18 a 20 anos,Graduação,Sim,1 a 4,Pensamento Computacional,7,4,3,3,4,4,2,4,5,4,4,5,4,6,6,5,2,1,2,1,4,4,4,4,4,4,2,2,6,4,6,6,6,6,5,6
26 a 30 anos,Graduação,Sim,1 a 4,Modelagem de sistemas em uml,7,7,7,5,6,7,5,6,7,6,5,7,4,5,5,7,5,3,2,3,5,4,7,6,5,7,7,6,6,7,5,7,7,5,6,5
18 a 20 anos,Graduação,Sim,1 a 4,Ciência da Computação,8,5,6,3,4,6,5,6,6,5,3,6,5,5,5,6,4,5,5,5,6,4,5,5,2,5,7,6,4,5,5,5,6,5,6,5
21 a 25 anos,Graduação,Sim,1 a 4,Matemática ,6,3,2,3,3,3,3,2,1,2,2,2,2,5,4,7,5,7,6,5,4,4,4,7,5,5,4,4,4,3,4,5,6,5,5,6
18 a 20 anos,Graduação,Sim,1 a 4,-,8,7,7,1,1,3,1,4,1,1,1,5,1,1,1,2,1,1,3,4,3,7,3,7,1,1,5,5,7,7,6,5,7,7,5,5
31 a 40 anos,Graduação,Sim,Mais de 8 cursos,Matemática ,8,7,7,5,5,7,6,5,6,6,5,7,6,7,7,7,6,7,7,6,7,6,5,7,5,5,7,7,7,7,6,7,7,6,6,7
31 a 40 anos,Graduação,Sim,1 a 4,Estrutura de Dados,7,7,7,5,5,5,7,6,2,6,6,7,7,7,7,7,5,4,4,4,6,4,6,7,7,7,7,7,6,7,6,7,7,7,6,7
21 a 25 anos,Graduação,Sim,Mais de 8 cursos,Estrutura de dados - Ciência da Computação ,6,7,7,7,7,7,1,6,7,7,1,7,1,7,7,7,7,7,5,2,7,4,7,7,7,7,7,7,6,7,6,7,2,7,7,7
31 a 40 anos,Graduação,Sim,1 a 4,cálculo,6,6,6,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
26 a 30 anos,Graduação,Sim,1 a 4,Matemática lógica ,5,7,7,7,7,7,7,6,7,7,6,7,7,6,5,7,7,6,5,4,7,3,7,7,7,6,7,4,4,7,7,7,5,7,5,7
18 a 20 anos,Graduação,Sim,1 a 4,Matemática e lógica,7,7,6,7,6,7,7,7,5,4,2,6,4,7,4,7,2,3,7,2,7,7,7,5,1,5,1,6,1,7,7,7,2,4,3,2
21 a 25 anos,Graduação,Sim,1 a 4,Pensamento Computacional ,7,7,7,6,7,6,7,7,7,7,4,7,7,3,6,7,2,4,6,1,5,5,7,2,6,5,3,7,4,7,7,7,4,7,6,7
26 a 30 anos,Graduação,Sim,1 a 4,Marketing digital,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,1,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7
26 a 30 anos,Graduação,Sim,1 a 4,ciencias da computação,8,7,4,6,6,7,5,6,5,5,5,5,5,7,7,7,7,4,5,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
18 a 20 anos,Graduação,Sim,Mais de 8 cursos,Matemática.,6,7,7,4,7,4,5,4,4,4,2,7,4,1,6,7,7,3,7,7,7,7,3,7,5,7,7,7,7,7,7,7,7,7,7,7
31 a 40 anos,Graduação,Sim,5 a 8,Estrutura de Dados,6,7,7,7,7,5,6,5,6,5,4,7,7,5,7,6,5,5,5,6,4,5,5,5,5,6,6,7,7,7,7,7,7,6,6,7
26 a 30 anos,Especialização,Sim,Mais de 8 cursos,Programação 1 - Java,8,4,4,4,4,6,4,2,2,2,2,3,2,5,5,5,4,4,4,2,5,4,2,6,4,1,4,2,2,4,3,3,3,3,4,4
31 a 40 anos,Graduação,Sim,Mais de 8 cursos,Sim,4,5,3,3,3,5,4,2,4,4,3,6,6,6,4,7,2,2,4,3,5,6,2,3,4,4,3,3,2,7,7,7,7,6,6,6
21 a 25 anos,Graduação,Sim,5 a 8,Java,6,5,6,3,6,6,4,6,7,6,5,5,5,4,6,7,7,3,3,3,5,4,4,7,5,4,6,4,7,7,7,7,7,7,7,7
21 a 25 anos,Graduação,Sim,1 a 4,Matematica e logica,2,7,7,7,1,1,7,7,7,7,7,7,5,7,5,7,7,4,4,5,1,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5
31 a 40 anos,Especialização,Sim,1 a 4,Matemática Instrumental ,7,7,7,6,6,7,6,4,4,5,5,6,5,5,7,6,5,6,5,4,5,5,6,7,4,6,6,6,6,6,6,6,6,4,6,6
18 a 20 anos,Graduação,Sim,1 a 4,Estrutura de dados ,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
18 a 20 anos,Graduação,Sim,1 a 4,Python ,8,6,7,5,6,4,4,2,7,5,7,6,5,1,5,7,5,5,6,7,7,7,4,4,3,6,5,7,4,6,7,7,4,5,6,5
21 a 25 anos,Graduação,Sim,Mais de 8 cursos,Processos de desenvolvimento,7,7,1,5,7,7,6,6,7,7,5,7,6,7,7,7,3,5,5,3,7,7,7,7,7,7,7,7,7,3,7,5,7,6,7,7
41 a 50 anos,Graduação,Sim,Mais de 8 cursos,ESTATISTICA E PROBABILIDADE COM R,3,4,3,4,2,2,4,4,5,5,5,4,3,2,5,5,2,2,2,1,1,4,1,5,4,3,6,5,7,2,3,5,4,4,4,4
21 a 25 anos,Graduação,Sim,1 a 4,nenhuma,9,7,5,7,6,7,7,6,7,7,7,7,7,1,7,7,7,7,7,4,7,6,6,7,6,6,7,7,3,7,7,7,7,7,6,6
41 a 50 anos,Graduação,Sim,Mais de 8 cursos,Sql,6,6,7,5,7,6,5,6,6,5,5,5,6,2,6,5,5,6,6,6,6,7,7,7,6,7,4,7,6,7,6,7,6,5,7,6
31 a 40 anos,Graduação,Sim,1 a 4,Engenharia ,5,4,5,7,6,6,7,7,7,7,7,7,2,7,7,7,7,5,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
41 a 50 anos,Graduação,Sim,5 a 8,Comunicação entre aplicações,6,7,6,7,4,6,6,5,4,3,2,6,7,2,4,2,3,1,2,1,1,1,3,5,2,4,5,2,6,7,4,7,7,6,4,2
21 a 25 anos,Graduação,Sim,1 a 4,Calculo 1,5,7,7,7,7,6,5,4,6,6,6,7,6,7,6,7,7,3,2,5,5,4,5,5,5,5,6,4,5,5,5,6,5,3,3,6
18 a 20 anos,Graduação,Sim,Mais de 8 cursos,"Banco de dados, estrutura de dados ",7,7,6,5,4,5,7,5,5,5,4,6,6,4,6,7,7,5,6,6,7,6,5,6,4,6,7,7,7,7,6,7,7,6,6,7
18 a 20 anos,Graduação,Sim,Mais de 8 cursos,Desenvolvimento web,6,7,5,5,4,5,5,7,6,5,7,7,7,7,5,6,4,6,5,7,6,7,7,7,7,7,7,6,7,7,7,6,5,7,5,7
21 a 25 anos,Especialização,Sim,1 a 4,Programação Movel,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,5,4,4,1,7,4,4,1,7,7,7,7,7,7,7,7,7,7
21 a 25 anos,Graduação,Sim,Mais de 8 cursos,Estrutura de Dados,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7
18 a 20 anos,Graduação,Sim,5 a 8,Trigonometria ,6,7,7,7,7,7,7,7,1,1,1,7,1,7,7,7,7,7,1,1,1,1,7,5,5,5,5,1,1,1,1,6,1,1,1,1
18 a 20 anos,Graduação,Sim,1 a 4,particularmente ainda não me deparei com nenhum curso difícil. *próxima pergunta vou responder de acordo com a média**,7,7,7,1,1,7,1,1,7,7,7,7,1,1,1,7,6,4,6,7,7,6,6,3,3,7,3,2,7,7,4,7,7,4,7,3
